Date,BPR:1,"BPR:1,1,1","BPR:10,10,3",BPR:300,FGOR,FOPR,WBHP:INJ,WBHP:PROD,WGIR:INJ,WGIR:PROD,WGIT:INJ,WGIT:PROD,WGOR:PROD,WGPR:INJ,WGPR:PROD,WGPT:INJ,WGPT:PROD,WOIR:INJ,WOIR:PROD,WOIT:INJ,WOIT:PROD,WOPR:INJ,WOPR:PROD,WOPT:INJ,WOPT:PROD,WWIR:INJ,WWIR:PROD,WWIT:INJ,WWIT:PROD,WWPR:INJ,WWPR:PROD,WWPT:INJ,WWPT:PROD
2019-05-31,6628.80224609375,6628.80224609375,4650.8125,4650.8125,8.7269420623779297,18015.94140625,6863.30224609375,1000.0,100000.0,0.0,161100000.0,0.0,8.7269420623779297,-0.0,157224.0625,-0.0,77036432.0,0.0,0.0,0.0,0.0,-0.0,18015.94140625,-0.0,32112306.0,0.0,0.0,0.0,0.0,-0.0,1.0149666195502505e-05,-0.0,0.0091721238568425179
2019-06-30,6523.07080078125,6523.07080078125,4597.3701171875,4597.3701171875,8.9981803894042969,17301.64453125,6756.53466796875,1000.0,100000.0,0.0,164100000.0,0.0,8.9981803894042969,-0.0,155683.296875,-0.0,81706928.0,0.0,0.0,0.0,0.0,-0.0,17301.64453125,-0.0,32631356.0,0.0,0.0,0.0,0.0,-0.0,1.3583647159975953e-05,-0.0,0.0095796333625912666
2019-07-31,6420.22705078125,6420.22705078125,4544.251953125,4544.251953125,9.2364845275878906,16661.583984375,6652.72314453125,1000.0,100000.0,0.0,167200000.0,0.0,9.2364845275878906,-0.0,153894.46875,-0.0,86477656.0,0.0,0.0,0.0,0.0,-0.0,16661.583984375,-0.0,33147866.0,0.0,0.0,0.0,0.0,-0.0,1.6891233826754615e-05,-0.0,0.010103262029588223
2019-08-31,6316.91845703125,6316.91845703125,4492.2275390625,4492.2275390625,9.4589557647705078,16071.8603515625,6548.4990234375,1000.0,100000.0,0.0,170300000.0,0.0,9.4589557647705078,-0.0,152023.015625,-0.0,91190368.0,0.0,0.0,0.0,0.0,-0.0,16071.8603515625,-0.0,33646092.0,0.0,0.0,0.0,0.0,-0.0,2.0028792278026231e-05,-0.0,0.01072415430098772
2019-09-30,6225.87744140625,6225.87744140625,4444.1005859375,4444.1005859375,9.6549701690673828,15556.44140625,6456.67236328125,1000.0,100000.0,0.0,173300000.0,0.0,9.6549701690673828,-0.0,150196.984375,-0.0,95696280.0,0.0,0.0,0.0,0.0,-0.0,15556.44140625,-0.0,34112784.0,0.0,0.0,0.0,0.0,-0.0,2.2841428290121257e-05,-0.0,0.01140939723700285
2019-10-31,6133.369140625,6133.369140625,4396.34619140625,4396.34619140625,9.8456563949584961,15065.4814453125,6363.4033203125,1000.0,100000.0,0.0,176400000.0,0.0,9.8456563949584961,-0.0,148329.546875,-0.0,100294496.0,0.0,0.0,0.0,0.0,-0.0,15065.4814453125,-0.0,34579812.0,0.0,0.0,0.0,0.0,-0.0,2.554695493017789e-05,-0.0,0.012201352976262569
2019-11-30,6047.0595703125,6047.0595703125,4351.181640625,4351.181640625,10.022439956665039,14635.5361328125,6276.4140625,1000.0,100000.0,0.0,179400000.0,0.0,10.022439956665039,-0.0,146683.78125,-0.0,104695008.0,0.0,0.0,0.0,0.0,-0.0,14635.5361328125,-0.0,35018880.0,0.0,0.0,0.0,0.0,-0.0,2.802752896968741e-05,-0.0,0.013042178936302662
2019-12-31,5965.08740234375,5965.08740234375,4303.486328125,4303.486328125,10.209207534790039,14250.916015625,6193.81005859375,1000.0,100000.0,0.0,182500000.0,0.0,10.209207534790039,-0.0,145490.546875,-0.0,109205216.0,0.0,0.0,0.0,0.0,-0.0,14250.916015625,-0.0,35460660.0,0.0,0.0,0.0,0.0,-0.0,3.0564551707357168e-05,-0.0,0.013989680446684361
2020-01-31,5886.029296875,5886.029296875,4258.29833984375,4258.29833984375,10.376473426818848,13899.91015625,6114.166015625,1000.0,100000.0,0.0,185600000.0,0.0,10.376473426818848,-0.0,144232.046875,-0.0,113676408.0,0.0,0.0,0.0,0.0,-0.0,13899.91015625,-0.0,35891556.0,0.0,0.0,0.0,0.0,-0.0,3.2889965950744227e-05,-0.0,0.015009269118309021
2020-02-28,5817.1162109375,5817.1162109375,4219.62939453125,4219.62939453125,10.521910667419434,13603.40625,6044.7587890625,1000.0,100000.0,0.0,188400000.0,0.0,10.521910667419434,-0.0,143133.828125,-0.0,117684152.0,0.0,0.0,0.0,0.0,-0.0,13603.40625,-0.0,36272452.0,0.0,0.0,0.0,0.0,-0.0,3.4819473512470722e-05,-0.0,0.015984214842319489
